Timestamp,Origin,Destination,Price,Currency
2026-04-07 13:55:37,Provo Municipal Airport,Dallas-Fort Worth International Airport,325.0,USD
2026-04-07 13:55:51,Provo Municipal Airport,Dallas-Fort Worth International Airport,325.0,USD
2026-04-07 14:00:39,Provo Municipal Airport,Dallas-Fort Worth International Airport,325.0,USD
2026-04-16 14:54:10,Trip 8: SLC Window Apr 19-23,276.0,Frontier Airlines,Frontier Airlines,17:14
2026-04-16 14:54:22,Trip 9: SLC Window Apr 20-24,370.0,Frontier Airlines,Frontier Airlines,17:04
2026-04-16 14:54:41,Trip 10: SLC Window Apr 21-25,423.0,American Airlines,American Airlines,10:34
2026-04-16 15:06:15,SLC 5-Day (Apr 19-23),276.0,Frontier Airlines,Frontier Airlines,17:59,17:14
2026-04-16 15:06:15,SLC 7-Day (Apr 17-23),276.0,Frontier Airlines,Frontier Airlines,17:49,17:14
2026-04-16 15:06:15,PVU 5-Day (Apr 20-24),343.0,Breeze Airways,Breeze Airways,07:00,13:29
2026-04-16 15:06:15,SLC 5-Day (Apr 20-24),370.0,Frontier Airlines,Frontier Airlines,17:34,17:04
2026-04-16 15:06:15,SLC 6-Day (Apr 19-24),370.0,Frontier Airlines,Frontier Airlines,17:59,17:04
2026-04-16 15:06:15,PVU 5-Day (Apr 21-25),391.0,American Airlines,American Airlines,07:00,13:32
2026-04-16 15:06:15,PVU 5-Day (Apr 17-21),416.0,American Airlines,American Airlines,07:00,13:32
2026-04-16 15:06:15,PVU 6-Day (Apr 20-25),416.0,American Airlines,American Airlines,07:00,13:32
2026-04-16 15:06:15,PVU 7-Day (Apr 18-24),416.0,American Airlines,American Airlines,07:00,13:01
2026-04-16 15:06:15,PVU 7-Day (Apr 19-25),416.0,American Airlines,American Airlines,16:04,13:32
2026-04-16 15:06:15,SLC 5-Day (Apr 18-22),423.0,American Airlines,American Airlines,05:00,00:27
2026-04-16 15:06:15,SLC 5-Day (Apr 21-25),423.0,American Airlines,American Airlines,05:00,10:34
2026-04-16 15:06:15,PVU 6-Day (Apr 18-23),457.0,American Airlines,American Airlines,07:00,22:02
2026-04-16 15:06:15,SLC 6-Day (Apr 17-22),458.0,American Airlines,American Airlines,05:00,10:34
2026-04-16 15:06:15,SLC 5-Day (Apr 17-21),459.0,American Airlines,American Airlines,05:00,10:34
2026-04-16 15:06:15,SLC 6-Day (Apr 18-23),459.0,American Airlines,American Airlines,05:00,00:27
2026-04-16 15:06:15,SLC 6-Day (Apr 20-25),459.0,American Airlines,American Airlines,05:00,10:34
2026-04-16 15:06:15,SLC 7-Day (Apr 19-25),459.0,American Airlines,American Airlines,05:00,10:34
2026-04-16 15:06:15,SLC 7-Day (Apr 18-24),467.0,American Airlines,American Airlines,05:00,00:27
2026-04-16 15:06:15,PVU 7-Day (Apr 17-23),482.0,American Airlines,American Airlines,07:00,22:02
